35.0,0.986736178457069,13.0,0.21843695486109105,NaN,NaN,33.0,73.0,68.0,0.4719634556581046,
45.0,0.9143360298996004,63.0,0.6555457527140988,NaN,NaN,2.0,4.0,16.0,0.10549805237802246,
55.0,0.9048102028007654,21.0,0.9411607684871455,NaN,NaN,77.0,37.0,35.0,0.4932689005287533,
8.0,0.06572738761790498,79.0,0.8567515886423144,NaN,NaN,24.0,77.0,50.0,0.6487797781794763,
56.0,0.4656351051289843,57.0,0.4857782524992601,NaN,NaN,31.0,76.0,26.0,0.1557995489593288,
32.0,3.7730673179692253E-4,69.0,0.1299801347335231,NaN,NaN,59.0,24.0,2.0,0.8484814228253162,
72.0,0.29182838900596786,71.0,0.008380890906453442,NaN,NaN,25.0,1.0,5.0,0.9324776533106297,
29.0,0.6729907916093367,57.0,0.08372628251147851,NaN,NaN,99.0,13.0,96.0,0.5474431254212895,
36.0,0.7608942496419826,42.0,0.9373717403413638,NaN,NaN,81.0,81.0,54.0,0.7076284967707571,
87.0,0.4438205082373077,74.0,0.4356395351753104,NaN,NaN,70.0,15.0,79.0,0.9983720449142751,
15.0,0.7052095193740247,28.0,0.31137033332723485,NaN,NaN,38.0,95.0,37.0,0.8994173730237528,
93.0,0.1020648018576803,72.0,0.08752153065712087,NaN,NaN,93.0,93.0,59.0,0.26750517261991413,
97.0,0.3196229093678943,54.0,0.4703162184060984,NaN,NaN,94.0,22.0,85.0,0.59355995961617,
77.0,0.7577434424824318,72.0,0.6381594259922245,NaN,NaN,46.0,25.0,10.0,0.48017107164716577,
26.0,0.08278142343136197,56.0,0.09048311358507322,NaN,NaN,51.0,23.0,20.0,0.5569240543336491,
36.0,0.6868026543365278,93.0,0.31349712196108237,NaN,NaN,9.0,80.0,67.0,0.8761791338332232,
82.0,0.7851069388935187,91.0,0.19145621569616622,NaN,NaN,70.0,67.0,77.0,0.6953943403678289,
75.0,0.4923173324313985,73.0,0.5798054621810318,NaN,NaN,85.0,50.0,65.0,0.5686884340961973,
44.0,0.6841286950369818,13.0,0.3157151794805597,NaN,NaN,9.0,35.0,16.0,0.3987881736214034,
89.0,0.8149850726360807,49.0,0.9542626362312904,NaN,NaN,38.0,82.0,7.0,0.25929977242419366,
13.0,0.030180637254062725,88.0,0.14657171721684847,NaN,NaN,32.0,85.0,59.0,0.6085874945488169,
28.0,0.39316337205527385,24.0,0.27197300199203855,NaN,NaN,97.0,12.0,44.0,0.007429612203160851,
6.0,0.7976253834267641,73.0,0.6791264425967802,NaN,NaN,36.0,65.0,7.0,0.545934943615103,
60.0,0.005045856472376986,38.0,0.41284352390404333,NaN,NaN,97.0,50.0,36.0,0.7272591442322355,
56.0,0.3629677442147551,12.0,0.4198444459707239,NaN,NaN,57.0,74.0,85.0,0.09016171012400309,
77.0,0.5344560351389381,72.0,0.08512590003235387,NaN,NaN,82.0,49.0,88.0,0.4584079205341145,
97.0,0.9880259622165268,7.0,0.8621979937369681,NaN,NaN,56.0,50.0,59.0,0.02174070320062349,
44.0,0.17714824847948374,41.0,0.29373419448993665,NaN,NaN,32.0,45.0,86.0,0.15756299255977468,
88.0,0.17867219229066578,39.0,0.987484027869524,NaN,NaN,51.0,92.0,70.0,0.13629027510191705,
93.0,0.3283007666134007,45.0,0.3145746214768176,NaN,NaN,7.0,93.0,41.0,0.4187315291973587,
24.0,0.6460767760921433,99.0,0.9436833467181942,NaN,NaN,34.0,46.0,28.0,0.8076158588181869,
95.0,0.2893202618637193,17.0,0.4177774440182719,NaN,NaN,69.0,94.0,38.0,0.21250207118811482,
12.0,0.7140022233289439,28.0,0.2089469409133088,NaN,NaN,57.0,38.0,2.0,0.6654568947345305,
30.0,0.993142819862332,45.0,0.30778342957245797,NaN,NaN,69.0,12.0,76.0,0.9813057819976992,
30.0,0.29560665864739144,76.0,0.2578602859085678,NaN,NaN,85.0,64.0,9.0,6.960910903078821E-4,
49.0,0.9261127761166227,2.0,0.47115912206581056,NaN,NaN,94.0,96.0,6.0,0.9627888735429714,
48.0,0.3378210212772118,44.0,0.13413656477231362,NaN,NaN,5.0,25.0,78.0,0.7855340615005125,
78.0,0.5982060990277108,43.0,0.5174683619646565,NaN,NaN,49.0,9.0,48.0,0.5792682046924181,
